aid,pid
1,1
2,2
3,3
4,3
5,4
6,5
7,6
8,7
9,7
10,8
11,8
12,9
13,10
14,10
15,10
16,11
17,11
18,11
19,11
20,12
21,13
22,14
23,14
24,15
25,16
26,17
27,17
28,17
29,18
19,19
30,19
31,19
32,20
33,21
34,21
35,22
36,23
37,24
38,25
9,25
39,26
40,27
41,28
42,28
43,29
44,30
45,31
46,31
47,32
48,33
49,33
50,34
51,34
52,35
53,35
54,36
55,36
56,36
57,37
58,38
59,39
60,39
61,39
62,40
63,40
64,40
65,40
66,41
67,41
68,42
69,43
70,44
71,45
72,45
73,45
74,46
75,47
76,47
77,48
78,48
79,49
80,50
81,50
82,51
83,51
84,52
85,52
86,53
87,54
88,55
89,56
90,56
91,56
92,57
93,57
94,58
95,58
96,59
97,59
98,59
99,60
100,61
101,62
102,62
103,62
104,62
105,63
106,63
107,64
108,64
109,65
110,65
111,66
112,67
113,67
114,68
115,68
116,69
117,69
118,69
119,70
120,70
121,71
16,72
122,72
19,72
123,72
124,73
125,73
126,74
127,75
128,75
129,76
130,77
131,78
132,79
133,80
134,80
135,81
136,82
137,83
138,84
89,85
139,85
40,86
140,87
141,87
142,87
143,87
144,88
145,88
146,89
147,89
148,90
149,90
150,91
151,91
152,92
153,93
154,93
155,93
156,94
157,94
158,94
159,94
160,95
45,96
161,96
46,96
156,97
157,97
89,98
162,98
163,98
164,99
165,100
166,101
167,101
168,102
169,102
170,103
171,103
172,104
173,105
174,105
156,106
175,106
176,106
177,106
178,106
179,107
180,108
181,108
182,108
183,109
184,110
185,111
186,112
187,113
188,114
189,114
184,115
89,116
190,116
191,117
192,118
193,118
194,119
195,120
196,121
46,121
197,121
198,121
13,122
199,122
200,123
201,123
202,124
203,125
15,125
204,126
46,126
205,127
170,127
206,128
207,128
208,129
209,129
72,130
210,131
211,131
212,131
213,131
214,132
208,132
215,132
216,132
217,133
218,133
207,134
219,134
220,135
221,135
222,135
223,135
224,136
225,137
226,137
227,138
228,139
229,139
230,140
231,141
232,142
233,142
234,143
235,143
236,144
237,145
238,145
239,146
240,147
241,147
242,147
243,148
244,149
245,149
246,150
247,151
248,151
249,151
250,152
251,153
252,154
253,155
254,155
255,156
256,156
257,156
258,156
259,157
260,158
261,158
73,158
5,159
262,159
263,160
264,160
265,160
266,161
267,161
268,162
269,162
270,163
271,163
75,164
272,164
197,164
89,165
273,165
274,166
275,166
276,166
277,166
278,166
210,167
279,167
280,167
281,168
75,168
282,169
56,169
283,170
284,170
285,170
286,171
287,172
283,173
288,173
19,173
129,174
289,175
290,175
291,176
292,176
89,177
273,177
293,178
294,178
295,179
296,180
40,180
297,181
298,181
163,181
299,182
252,182
44,183
300,184
301,184
226,185
302,186
303,186
292,186
304,187
305,187
306,187
307,188
308,188
125,189
309,189
310,190
311,190
312,190
313,191
314,191
315,192
207,193
84,194
316,195
317,196
318,196
319,196
320,197
321,197
322,198
323,198
324,198
325,199
158,200
326,201
327,201
328,201
329,202
330,203
331,204
20,205
332,206
333,207
334,207
58,208
335,208
336,208
337,209
75,210
338,210
339,211
340,211
341,212
342,212
319,212
343,213
344,213
277,213
129,214
345,215
346,215
347,215
348,216
349,216
350,216
351,216
352,217
353,217
354,218
355,218
356,219
357,219
358,220
359,220
360,220
361,221
362,221
363,221
364,222
365,222
366,223
367,223
32,224
368,225
180,226
182,226
181,226
369,226
370,227
371,227
372,227
373,228
19,228
374,228
375,229
376,229
377,230
46,230
378,231
379,231
380,231
381,231
382,232
383,233
384,233
385,234
386,234
387,234
388,235
389,236
390,236
391,237
392,237
393,238
309,239
394,239
395,240
192,241
193,241
396,242
304,242
397,243
398,243
399,243
400,244
401,245
181,246
182,246
402,247
403,247
342,248
404,249
394,249
405,250
406,250
112,251
407,251
408,252
409,253
410,253
411,254
37,255
412,255
413,256
414,256
415,257
416,257
417,258
418,258
419,259
420,260
421,260
409,261
422,261
423,262
424,262
425,263
426,263
427,263
428,264
153,264
429,264
430,264
431,265
432,266
433,266
434,266
435,267
436,268
437,268
438,269
244,269
439,269
57,270
440,270
441,271
442,271
443,271
444,272
445,273
446,273
447,274
448,275
449,276
450,276
451,276
452,276
309,277
197,277
73,277
453,278
454,279
455,280
134,280
456,281
197,281
457,282
458,283
459,283
7,284
460,285
421,285
461,286
220,286
462,287
463,287
73,287
348,288
464,288
465,289
466,289
467,289
468,290
469,291
470,292
471,293
472,294
473,294
474,294
252,295
462,295
475,295
476,296
477,296
478,297
479,297
480,298
481,299
