id,name
1,Sanjeev Saxena
2,Hans-Ulrich Simon
3,Nathan Goodman
4,Oded Shmueli
5,Norbert Blum
6,Arnold Schonhage
7,Juha Honkala
8,Chua-Huang Huang
9,Christian Lengauer
10,Alain Finkel
11,Annie Choquet
12,Joachim Biskup
13,Symeon Bozapalidis
14,Zoltan Fulop 0001
15,George Rahonis
16,Victor Khomenko
17,Alex Kondratyev
18,Maciej Koutny
19,Walter Vogler
20,Wim H. Hesselink
21,Christian Ronse
22,Carol Critchlow
23,Prakash Panangaden
24,Robin Milner
25,John Darlington
26,Maria Calzarossa
27,M. Italiani
28,Giuseppe Serazzi
29,Vincent Vajnovszki
30,Christian Stahl
31,Richard Muller 0001
32,Luc Devroye
33,T. C. Hu
34,K. C. Tan
35,William R. Franta
36,Ekkart Kindler
37,Demetres D. Kouvatsos
38,Sergei Gorlatch
39,Roland Meyer
40,Stefan Reisch
41,Erzsebet Csuhaj-Varju
42,Victor Mitrana
43,Ryszard Janicki
44,Bruce Russell
45,Andrzej Ehrenfeucht
46,Grzegorz Rozenberg
47,Rainer Kemp
48,Yijie Han
49,Yoshihide Igarashi
50,Ian F. Akyildiz
51,Horst von Brand
52,X. J. Chen
53,Carlo Montangero
54,Rob J. van Glabbeek
55,Ursula Goltz
56,Ernst-Rudiger Olderog
57,Antonella Santone
58,Eric C. R. Hehner
59,Moon-Jung Chung
60,Michael Evangelist
61,Ivan Hal Sudborough
62,Peter E. Bulychev
63,Alexandre David
64,Kim G. Larsen
65,Guangyuan Li
66,Timothy A. Budd
67,Dana Angluin
68,George Markowsky
69,Manfred P. Stadel
70,David A. Watt
71,Paul S. Amerins
72,Ricardo A. Baeza-Yates
73,Derick Wood
74,Ernst W. Mayr
75,Karel Culik II
76,Simant Dube
77,Armin B. Cremers
78,Thomas N. Hibbard
79,William P. R. Mitchell
80,Patrick Cousot
81,Radhia Cousot
82,Isi Mitrani
83,J. H. Hine
84,Joseph M. Morris
85,Malcolm Tyrrell
86,Jurgen Nehmer
87,Walter J. Savitch
88,Karl Meinke
89,Joost Engelfriet
90,Linda Heyker
91,George Leih
92,Shyamal K. Chowdhury
93,Pradip K. Srimani
94,Ugo Montanari
95,Francesca Rossi
96,Peter E. Lauer
97,Piero R. Torrigiani
98,M. W. Shields
99,Rudolf Berghammer
100,David Pager
101,Peter Lipps
102,Ulrich Moncke
103,Matthias Olk
104,Reinhard Wilhelm
105,Sanguthevar Rajasekaran
106,Sandeep Sen
107,Richard Hull
108,Jianwen Su
109,John K. Lee
110,Alan Fekete
111,Teuvo Laurinolli
112,Gary T. Leavens
113,Don Pigozzi
114,Y. Daniel Liang
115,Maw-Shang Chang
116,Gilles Bernot
117,Michel Bidoit
118,Teodor Knapik
119,Jan A. Bergstra
120,C. A. Middelburg
121,Wlodzimierz Drabent
122,Mark Schafer
123,Ralf Wollowski
124,Raphael A. Finkel
125,Jon Louis Bentley
126,Alfred Schmitt
127,Jacques Labetoulle
128,Guy Pujolle
129,Paul Pritchard
130,Robert T. Moenck
131,Philip Heidelberger
132,Siegfried Bublitz
133,Benedek Nagy
134,Friedrich Otto
135,Gheorghe Paun
136,P. F. Schuler
137,George W. Ernst
138,Gunther E. Pfaff
139,Heiko Vogler
140,Chen-Ming Fan
141,Cheng-Chih Huang
142,Huei-Jan Shyr
143,Kuo-Hsiang Chen
144,Linqiang Pan
145,Artiom Alhazov
146,Akhil Kumar 0001
147,Kavindra Malik
148,Serge Haddad
149,Denis Poitrenaud
150,Donald P. Gaver
151,George Humfeld
152,J.-P. Levy
153,Stavros Konstantinidis
154,Nicolae Santean
155,Sheng Yu
156,Eike Best
157,Raymond R. Devillers
158,Astrid Kiehn
159,Lucia Pomello
160,Markus Buttner
161,Hendrik Jan Hoogeboom
162,Eric Lilin
163,Andreas Maletti
164,Andrzej Blikle
165,Fred Kroger
166,Zoltan Esik
167,Michael Bertol
168,Rob van Stee
169,Johannes A. La Poutre
170,Carroll Morgan
171,Paul H. B. Gardiner
172,Ambuj K. Singh
173,Paul Caspi
174,Nicolas Halbwachs
175,Wojciech Fraczak
176,Richard P. Hopkins
177,Hanna Klaudel
178,Elisabeth Pelz
179,Wuu Yang
180,Kamilla Klonowska
181,Lars Lundberg
182,Hakan Lennerstad
183,Arnold L. Rosenberg
184,Zvi Galil
185,Volker Claus
186,Naoki Kobayashi 0001
187,Jean Berstel
188,B. Bartsch
189,Gunter Bolch
190,Jan Joris Vereijken
191,Teruo Hikita
192,Yuri Breitbart
193,Allen Reiter
194,Per Brinch Hansen
195,Karsten Schmidt 0004
196,Mogens Nielsen
197,Arto Salomaa
198,Sven Skyum
199,Antonios Kalampakas
200,Jorg Desel
201,Wolfgang Reisig
202,Wolfgang Merzenich
203,Eleni Mandrali
204,Dirk Janssens
205,Annabelle McIver
206,S. Arun-Kumar
207,Matthew Hennessy
208,Benedetto Intrigila
209,Stefano Varricchio
210,Emanuela Fachini
211,Angelo Monti
212,Margherita Napoli
213,Domenico Parente
214,Giuseppe Della Penna
215,Enrico Tronci
216,Marisa Venturini Zilli
217,Jan Janousek
218,Borivoj Melichar
219,Xinxin Liu
220,Mark H. Overmars
221,Michiel H. M. Smid
222,Mark de Berg
223,Marc J. van Kreveld
224,Michael Brand
225,Ralph-Johan Back
226,Joakim von Wright
227,Alexandre Brandwajn
228,Eric Badouel
229,Philippe Darondeau
